Date,Open,High,Low,Close,Adj Close,Volume
1/1/96,1.151786,1.267857,0.959261,0.986607,0.657873,2575053600
2/1/96,0.982143,1.080357,0.973214,0.982143,0.654896,1163024800
3/1/96,0.986607,0.986607,0.821429,0.877232,0.584941,836687600
4/1/96,0.897321,0.946429,0.848214,0.870536,0.580476,716769200
5/1/96,0.870536,1.03125,0.839286,0.933036,0.622151,900975600
6/1/96,0.924107,0.928571,0.700893,0.75,0.500102,1168484800
7/1/96,0.754464,0.8125,0.571429,0.785714,0.523917,1200872400
8/1/96,0.785714,0.892857,0.741071,0.866071,0.577499,796843600
9/1/96,0.861607,0.879464,0.723214,0.792411,0.528382,803387200
10/1/96,0.785714,0.991071,0.785714,0.821429,0.547731,1454244400
11/1/96,0.834821,0.941964,0.825893,0.861607,0.574522,645341200
12/1/96,0.861607,0.910714,0.741071,0.745536,0.497125,1036870800
1/1/97,0.754464,0.794643,0.589286,0.59375,0.395914,2268184800
2/1/97,0.602679,0.638393,0.540179,0.580357,0.386984,1143542400
3/1/97,0.589286,0.691964,0.566964,0.651786,0.434613,1125560800
4/1/97,0.629464,0.709821,0.598214,0.607143,0.404845,952431200
5/1/97,0.602679,0.642857,0.584821,0.59375,0.395914,573176800
6/1/97,0.607143,0.611607,0.5,0.508929,0.339355,643076000
7/1/97,0.497768,0.647321,0.455357,0.625,0.416752,1695593200
8/1/97,0.629464,1.055804,0.627232,0.776786,0.517963,4418926400
9/1/97,0.785714,0.830357,0.75,0.774554,0.516475,901518800
10/1/97,0.774554,0.883929,0.566964,0.608257,0.405588,1607510800
11/1/97,0.627232,0.767857,0.602679,0.633929,0.422706,1386870800
12/1/97,0.631696,0.640625,0.455357,0.46875,0.312564,1274448000
1/1/98,0.486607,0.714286,0.482143,0.654018,0.436101,2552894400
2/1/98,0.660714,0.852679,0.620536,0.84375,0.562615,1838541600
3/1/98,0.841518,1,0.772321,0.982143,0.654896,2656494400
4/1/98,0.979911,1.058036,0.881696,0.977679,0.651919,2020471600
5/1/98,0.982143,1.129464,0.915179,0.950893,0.634058,1700834800
6/1/98,0.946429,1.035714,0.915179,1.024554,0.683175,977460400
7/1/98,1.03125,1.361607,1.017857,1.236607,0.824573,2731915200
8/1/98,1.223214,1.5625,1.107143,1.113839,0.742711,3305218000
9/1/98,1.120536,1.435268,1.09375,1.361607,0.907924,2020079600
10/1/98,1.3125,1.475446,1.017857,1.325893,0.884109,3232731600
11/1/98,1.339286,1.40625,1.133929,1.140625,0.760572,2530880800
12/1/98,1.142857,1.482143,1.129464,1.462054,0.974901,3231026400
1/1/99,1.504464,1.689732,1.323661,1.470982,0.980856,3781850800
2/1/99,1.488839,1.497768,1.232143,1.243304,0.829039,2029129200
3/1/99,1.243304,1.325893,1.142857,1.283482,0.85583,2487998800
4/1/99,1.287946,1.683036,1.196429,1.642857,1.095462,3972242400
5/1/99,1.645089,1.785714,1.462054,1.573661,1.049322,2227226400
6/1/99,1.607143,1.75,1.502232,1.654018,1.102904,1729655200
7/1/99,1.654018,2.022321,1.613839,1.988839,1.326164,2866645600
8/1/99,1.986607,2.352679,1.861607,2.330357,1.553889,2311150800
9/1/99,2.392857,2.861607,2.051339,2.261161,1.507749,4741867200
10/1/99,2.21875,2.895089,2.125,2.861607,1.908128,3617124000
11/1/99,2.857143,3.705357,2.761161,3.495536,2.330834,2156232400
12/1/99,3.607143,4.214286,3.252232,3.671875,2.448418,2354553600
1/1/00,3.745536,4.339286,3.089286,3.705357,2.470743,3138794400
2/1/00,3.714286,4.283482,3.464286,4.09375,2.729725,1829945600
3/1/00,4.234375,5.370536,4.071429,4.850446,3.234293,2174589200
4/1/00,4.839286,4.982143,3.745536,4.430804,2.954473,2165601200
5/1/00,4.459821,4.508929,2.919643,3,2.000409,2451937600
6/1/00,2.919643,4.116071,2.870536,3.741071,2.494557,2026301200
7/1/00,3.723214,4.330357,3.348214,3.629464,2.420138,1436692600
8/1/00,3.59375,4.392857,3.160714,4.352679,2.902379,1409021600
9/1/00,4.379464,4.580357,1.8125,1.839286,1.226442,3629232600
10/1/00,1.90625,1.910714,1.25,1.397321,0.931738,5476447200
11/1/00,1.388393,1.642857,1.151786,1.178571,0.785875,2122093400
12/1/00,1.214286,1.25,0.973214,1.0625,0.708478,2214742600
1/1/01,1.0625,1.607143,1.03125,1.544643,1.029973,3427365200
2/1/01,1.477679,1.566964,1.285714,1.303571,0.869225,1755941600
3/1/01,1.272321,1.696429,1.227679,1.576429,1.051167,2699765600
4/1/01,1.577857,1.937143,1.339286,1.820714,1.214058,2789747800
5/1/01,1.815,1.907143,1.378571,1.425,0.950194,1867108600
6/1/01,1.437857,1.792857,1.382143,1.660714,1.107369,1909566400
7/1/01,1.688571,1.801429,1.275,1.342143,0.894945,2163775600
8/1/01,1.357857,1.421429,1.234286,1.325,0.883514,1282339800
9/1/01,1.321429,1.362857,1.048571,1.107857,0.738722,1382880800
10/1/01,1.106429,1.387143,1.059286,1.254286,0.836361,1886061800
11/1/01,1.260714,1.539286,1.232143,1.521429,1.014493,1342436200
12/1/01,1.504286,1.716429,1.435,1.564286,1.04307,1157459800
1/1/02,1.575,1.766429,1.446429,1.765714,1.177384,2128844200
2/1/02,1.738571,1.855714,1.495714,1.55,1.033545,1959356000
3/1/02,1.566429,1.807143,1.558571,1.690714,1.127373,1329645800
4/1/02,1.67,1.869286,1.642857,1.733571,1.155951,1605709000
5/1/02,1.735,1.855714,1.581429,1.664286,1.10975,1494039400
6/1/02,1.670714,1.675,1.141429,1.265714,0.843982,2177004200
7/1/02,1.265,1.342143,0.985714,1.09,0.726815,2029603800
8/1/02,1.079286,1.160714,0.997857,1.053571,0.702525,1287921600
9/1/02,1.035,1.085,1.003571,1.035714,0.690617,1322959400
10/1/02,1.042143,1.174286,0.954286,1.147857,0.765395,1652858200
11/1/02,1.138571,1.241429,1.072143,1.107143,0.738246,1132930400
12/1/02,1.135714,1.15,0.984286,1.023571,0.682521,1132609800
1/1/03,1.025714,1.098571,0.968571,1.025714,0.683949,1511458200
2/1/03,1.029286,1.092857,0.985714,1.072143,0.714908,1028575800
3/1/03,1.072143,1.082857,1.002857,1.01,0.673471,1007101200
4/1/03,1.014286,1.067857,0.908571,1.015714,0.677281,1943835600
5/1/03,1.017857,1.357857,1,1.282143,0.854937,2702886200
6/1/03,1.292857,1.406429,1.187857,1.361429,0.907805,1528333800
7/1/03,1.347857,1.540714,1.322143,1.505714,1.004015,1304567600
8/1/03,1.5,1.632143,1.387143,1.615,1.076887,1076891200
9/1/03,1.618571,1.665714,1.439286,1.48,0.986868,1336871200
10/1/03,1.479286,1.786429,1.442143,1.635,1.090223,1760047800
11/1/03,1.630714,1.664286,1.417857,1.493571,0.995918,1243526200
12/1/03,1.502857,1.564286,1.375,1.526429,1.017827,1363468400
1/1/04,1.539286,1.774286,1.512857,1.611429,1.074505,1981950600
2/1/04,1.604286,1.721429,1.55,1.708571,1.13928,1230507600
3/1/04,1.721429,2.01,1.685714,1.931429,1.287883,2906528800
4/1/04,1.920714,2.112857,1.820714,1.841429,1.22787,2232543600
5/1/04,1.857143,2.055714,1.821429,2.004286,1.336464,1326068800
6/1/04,1.985,2.442143,1.972143,2.324286,1.549841,2056808600
7/1/04,2.292857,2.402143,2.052857,2.31,1.540315,2424144800
8/1/04,2.227143,2.512857,2.121428,2.463571,1.642717,2002841400
9/1/04,2.45,2.805,2.442143,2.767857,1.845616,1918376600
10/1/04,2.794286,3.8,2.689286,3.742857,2.495749,4023591600
11/1/04,3.75,4.969285,3.717143,4.789286,3.19351,4359901000
12/1/04,4.842143,4.853571,4.4,4.6,3.067294,3987153800
1/1/05,4.627143,5.563571,4.471428,5.492857,3.662653,6427061200
2/1/05,5.503572,6.491428,5.47,6.408571,4.273254,5362236600
3/1/05,6.427143,6.444286,5.547143,5.952857,3.969383,3668980000
4/1/05,6.012857,6.35,4.857143,5.151429,3.434988,4843879600
5/1/05,5.172857,5.848571,4.73,5.68,3.787441,3214573600
6/1/05,5.698571,5.822857,5.074286,5.258572,3.506432,2831798900
7/1/05,5.261428,6.34,5.184286,6.092857,4.062735,2523561600
8/1/05,6.081429,6.904286,6.002857,6.698571,4.466627,2350201700
9/1/05,6.714286,7.794286,6.584286,7.658571,5.106757,3086942600
10/1/05,7.737143,8.282857,6.838572,8.227143,5.485885,4660861800
11/1/05,8.177143,10.152857,8.124286,9.688571,6.460371,3364106900
12/1/05,9.85,10.78,9.83,10.27,6.848068,3266041100
1/1/06,10.34,12.342857,10.124286,10.787143,7.192899,5469592800
2/1/06,10.707143,10.922857,8.985714,9.784286,6.524191,4690174300
3/1/06,9.834286,9.998571,8.238571,8.96,5.974555,5798158100
4/1/06,9.095715,10.292857,8.721429,10.055715,6.70518,5029820600
5/1/06,10.11,10.542857,8.384286,8.538571,5.693544,3902194800
6/1/06,8.55,9.014286,7.915714,8.181429,5.455401,4484155900
7/1/06,8.217143,9.804286,7.165714,9.708571,6.473704,4369935500
8/1/06,9.602858,10,8.94,9.692857,6.463226,4471911500
9/1/06,9.782857,11.111428,9.688571,10.997143,7.332928,4430389600
10/1/06,10.728572,11.8,10.371428,11.582857,7.723484,3596989200
11/1/06,11.585714,13.308572,11.112857,13.094286,8.73131,3458721000
12/1/06,13.114285,13.19,10.967143,12.12,8.081651,4222698200
1/1/07,12.327143,13.971429,11.7,12.247143,8.16643,6802445300
2/1/07,12.318571,12.972857,11.837143,12.087143,8.059742,3430588700
3/1/07,12.004286,13.832857,11.964286,13.272857,8.850382,3979661000
4/1/07,13.448571,14.642858,12.8,14.257143,9.506705,3364935000
5/1/07,14.227143,17.452858,14.078571,17.312857,11.544266,4341267000
6/1/07,17.299999,18.23,16.485714,17.434286,11.625234,5819885400
7/1/07,17.292856,21.274286,17.042856,18.822857,12.551139,6004643400
8/1/07,19.091429,19.950001,15.945714,19.782858,13.191268,6090199500
9/1/07,19.991428,22.142857,18.571428,21.924286,14.61918,5232805900
10/1/07,22.09,27.16,21.847143,27.135714,18.094177,5819447900
11/1/07,26.942858,27.525715,21.518572,26.031429,17.357834,6549947600
12/1/07,25.98,28.994286,25.284286,28.297142,18.868626,4313169700
1/1/08,28.467142,28.608572,18.02,19.337143,12.894063,8793472100
2/1/08,19.462856,19.512857,16.491428,17.860001,11.909105,6216488600
3/1/08,17.777143,20.82,16.857143,20.5,13.669459,5731818400
4/1/08,20.9,25.714285,20.515715,24.85,16.570055,5696745600
5/1/08,24.994286,27.462856,24.571428,26.964285,17.979872,4647053600
6/1/08,26.942858,27.135714,23.450001,23.92,15.949933,4868948700
7/1/08,23.461428,25.844286,20.932858,22.707144,15.141191,4937440200
8/1/08,22.842857,25.778572,21.844286,24.218571,16.149017,3271438800
9/1/08,24.628571,24.785715,14.37,16.237143,10.826977,6016890600
10/1/08,15.988571,16.628571,12.142858,15.37,10.248762,10356677800
11/1/08,15.132857,15.97,11.305715,13.238571,8.827519,5904865400
12/1/08,13.042857,14.8,12.078571,12.192857,8.130234,5053461700
1/1/09,12.268572,13.881429,11.171429,12.875714,8.585566,4526435200
2/1/09,12.728572,14.714286,12.358571,12.758572,8.507455,3466862700
3/1/09,12.588572,15.711429,11.761429,15.017143,10.013476,3856149500
4/1/09,14.87,18.171429,14.841429,17.975714,11.986262,2955420300
5/1/09,17.971428,19.414286,17.054285,19.401428,12.936931,2364285700
6/1/09,19.495714,20.914286,18.982857,20.347143,13.567535,3168893000
7/1/09,20.5,23.571428,19.202858,23.341429,15.564132,2735534200
8/1/09,23.601429,24.641428,22.774286,24.030001,16.023275,2041281200
9/1/09,23.998571,26.985714,23.444286,26.478571,17.655994,2497329800
10/1/09,26.478571,29.815714,25.814285,26.928572,17.956055,3239044200
11/1/09,27.114286,29.714285,26.51,28.558571,19.042934,2113696200
12/1/09,28.891428,30.564285,26.954287,30.104286,20.073631,2848489700
1/1/10,30.49,30.798571,27.178572,27.437143,18.29517,3792248600
2/1/10,27.481428,29.309999,27.264286,29.231428,19.491606,2694020000
3/1/10,29.392857,33.925713,29.35,33.57143,22.385527,3038543200
4/1/10,33.915714,38.922855,33.25,37.298573,24.8708,3091782400
5/1/10,37.691429,38.26857,28.464285,36.697144,24.469772,4520663700
6/1/10,37.098572,39.85857,34.599998,35.932858,23.960135,4162813200
7/1/10,36.328571,37.998573,34.228573,36.75,24.505011,3917426100
8/1/10,37.205715,37.754284,33.651428,34.728573,23.157118,2397280200
9/1/10,35.352856,42.104286,35.182858,40.535713,27.029337,2962479800
10/1/10,40.878571,45.57143,39.681427,42.997143,28.67063,3058644400
11/1/10,43.174286,45.900002,42.537144,44.450001,29.639391,2377021500
12/1/10,45.03857,46.665714,44.984287,46.080002,30.726294,1743308700
1/1/11,46.52,49.799999,46.405716,48.474285,32.3228,2710383900
2/1/11,48.757141,52.128571,48.245716,50.458572,33.645931,2323987400
3/1/11,50.781429,51.667141,46.60857,49.787144,33.198215,2826614700
4/1/11,50.158573,50.732857,45.737144,50.01857,33.352528,2313457300
5/1/11,49.962856,50.261429,47.060001,49.689999,33.133434,1728015100
6/1/11,49.83857,50.304287,44.357143,47.952858,31.975109,2315962600
7/1/11,47.992859,57.785713,47.742859,55.782856,37.196175,2663486700
8/1/11,56.825714,57.07143,50.431427,54.975716,36.657967,4035649800
9/1/11,55.117142,60.408573,52.354286,54.474285,36.323627,2994362000
10/1/11,54.33857,60.957142,50.605713,57.825714,38.558365,3285356900
11/1/11,56.772858,58.285713,51.902859,54.599998,36.407448,2240925400
12/1/11,54.648571,58.441429,53.954285,57.857143,38.579315,1576633100
1/1/12,58.485714,65.46286,58.42857,65.211426,43.483173,1714963600
2/1/12,65.487144,78.230003,64.854286,77.491432,51.67152,2842138600
3/1/12,78.309998,88.778572,73.745712,85.650002,57.111679,3896084500
4/1/12,85.975716,92,79.285713,83.425713,55.628525,3899747600
5/1/12,83.557144,85.251427,74.597145,82.53286,55.033165,2776586400
6/1/12,81.308571,84.285713,78.35714,83.428574,55.630413,1963956400
7/1/12,83.53286,88.552856,81.428574,87.251427,58.179504,2227412600
8/1/12,87.987144,97.267143,85.75,95.034286,63.369144,2069051600
9/1/12,95.108574,100.724289,93.714287,95.300003,65.506691,2299751300
10/1/12,95.879997,96.678574,83.957146,85.045715,58.458187,3035707500
11/1/12,85.459999,86.14286,72.25,83.611427,57.472267,3232462800
12/1/12,84.807144,84.941429,71.604286,76.024284,53.974899,3033188200
1/1/13,79.117142,79.285713,62.142857,65.07,46.197701,3280855900
2/1/13,65.587143,69.277145,62.522858,63.057144,44.768639,2336008500
3/1/13,62.57143,67.135712,59.857143,63.237144,46.794392,2294219200
4/1/13,63.128571,63.607143,55.014286,63.254284,46.807072,2740872400
5/1/13,63.494286,66.535713,59.842857,64.247147,47.541779,2361882600
6/1/13,64.389999,64.918571,55.552856,56.647144,43.940441,1754634000
7/1/13,57.527142,65.334282,57.317142,64.647141,50.14592,1634528700
8/1/13,65.10714,73.391426,64.751427,69.602859,53.990002,2014584600
9/1/13,70.442856,72.559998,63.888573,68.10714,55.372272,2157735300
10/1/13,68.349998,77.035713,68.325714,74.671425,60.709133,1959433000
11/1/13,74.860001,79.761429,73.197144,79.438568,64.584915,1306288900
12/1/13,79.714287,82.162857,76.971428,80.145714,67.919533,1764349300
1/1/14,79.382858,80.028572,70.507141,71.514282,60.604813,2191488600
2/1/14,71.80143,78.741432,71.328575,75.177139,63.708912,1470091700
3/1/14,74.774284,78.428574,74.687141,76.677139,67.804207,1250424700
4/1/14,76.822861,85.632858,73.047142,84.298569,74.543709,1608765200
5/1/14,84.571426,92.024284,82.904289,90.428574,79.964378,1433917100
6/1/14,90.565712,95.050003,88.928574,92.93,85.50061,1206934800
7/1/14,93.519997,99.440002,92.57,95.599998,87.957153,1035086000
8/1/14,94.900002,102.900002,93.279999,102.5,94.305519,937077000
9/1/14,103.059998,103.739998,96.139999,100.75,93.156509,1526420000
10/1/14,100.589996,108.040001,95.18,108,99.860077,1360280200
11/1/14,108.220001,119.75,107.720001,118.93,109.966301,820408200
12/1/14,118.809998,119.25,106.260002,110.379997,102.503265,1073594600
1/1/15,111.389999,120,104.629997,117.160004,108.799446,1304643800
2/1/15,118.050003,133.600006,116.080002,128.460007,119.293083,1136535200
3/1/15,129.25,130.279999,121.629997,124.43,116.006676,1138642100
4/1/15,124.82,134.539993,123.099998,125.150002,116.677956,996135500
5/1/15,126.099998,132.970001,123.360001,130.279999,121.460663,954152100
6/1/15,130.279999,131.389999,124.480003,125.43,117.427444,878512600
7/1/15,126.900002,132.970001,119.220001,121.300003,113.560951,1057507200
8/1/15,121.5,122.57,92,112.919998,105.715614,1786018000
9/1/15,110.150002,116.889999,107.360001,110.300003,103.730179,1206547300
10/1/15,109.07,121.220001,107.309998,119.5,112.382195,1112323100
11/1/15,120.800003,123.82,111,118.300003,111.253654,750640600
12/1/15,118.75,119.860001,104.82,105.260002,99.414101,921529700
1/1/16,102.610001,105.849998,92.389999,97.339996,91.93396,1271024100
2/1/16,96.470001,98.889999,92.589996,96.690002,91.320068,810862600
3/1/16,97.650002,110.419998,97.419998,108.989998,103.495514,746049600
4/1/16,108.779999,112.389999,92.510002,93.739998,89.014297,872396200
5/1/16,93.970001,100.730003,89.470001,99.860001,94.825783,900318100
6/1/16,99.019997,101.889999,91.5,95.599998,91.333252,779055700
7/1/16,95.489998,104.550003,94.370003,104.209999,99.558975,685779600
8/1/16,104.410004,110.230003,104,106.099998,101.364616,630128500
9/1/16,106.139999,116.18,102.529999,113.050003,108.589523,968015600
10/1/16,112.709999,118.690002,112.279999,113.540001,109.060188,686914300
11/1/16,113.459999,113.769997,104.080002,110.519997,106.159332,721305500
12/1/16,110.370003,118.019997,108.25,115.82,111.821404,608771700
1/1/17,115.800003,122.440002,114.760002,121.349998,117.160492,563122000
2/1/17,127.029999,137.479996,127.010002,136.990005,132.260529,574968600
3/1/17,137.889999,144.5,137.050003,143.660004,139.301605,561628400
4/1/17,143.710007,145.460007,140.059998,143.649994,139.291885,373304100
5/1/17,145.100006,156.649994,144.270004,152.759995,148.125519,653981800
6/1/17,153.169998,155.979996,142.199997,144.020004,140.227097,684178100
7/1/17,144.880005,153.990005,142.410004,148.729996,144.813034,422011900
8/1/17,149.100006,164.520004,148.410004,164,159.680908,661069000
9/1/17,164.800003,164.940002,149.160004,154.119995,150.650375,680374100
10/1/17,154.259995,169.649994,152.460007,169.039993,165.234512,504291300
11/1/17,169.869995,176.240005,165.279999,171.850006,167.981247,600663400
12/1/17,169.949997,177.199997,166.460007,169.229996,166.014908,530833500
1/1/18,170.160004,180.100006,164.699997,167.429993,164.249084,659487300
2/1/18,167.169998,180.619995,150.240005,178.119995,174.735992,927894300
3/1/18,178.539993,183.5,164.940002,167.779999,165.263504,713010900
4/1/18,166.639999,178.940002,160.630005,165.259995,162.781296,666057900
5/1/18,166.410004,190.369995,165.270004,186.869995,184.067184,620976300
6/1/18,187.990005,194.199997,180.729996,185.110001,183.036682,527624500
7/1/18,183.820007,195.960007,183.419998,190.289993,188.158646,393691400
8/1/18,199.130005,228.869995,197.309998,227.630005,225.080429,700273700
9/1/18,228.410004,229.669998,215.300003,225.740005,223.994431,678972000
10/1/18,227.949997,233.470001,206.089996,218.860001,217.167618,789748500
11/1/18,219.050003,222.360001,170.259995,178.580002,177.199097,961326400
12/1/18,184.460007,184.940002,146.589996,157.740005,157.066376,898922500
1/1/19,154.889999,169,142,166.440002,165.729218,828087400
2/1/19,166.960007,175.869995,165.929993,173.149994,172.410553,472540600
3/1/19,174.279999,175.149994,172.889999,174.970001,174.970001,25873500